Exp, Mean, Var, Tau, Temp, Mixtures, conv1_val, conv1_sp, conv2_val, conv2_sp, fc1_val, fc1_sp, fc2_val, fc_2sp, Test Acc, Val Acc
48, 0.5725487884358382, 22.824351004383605, 5.2212373672288026e-08, 7, 5, 35.91, 11.846153846153847, 10.09, 11.846153846153847, 10.09, 96.97490007993605, 91.88, 80.45908183632736, 9.8, 9.91
49, 1810.5582430271252, 22.824351004383605, 5.2212373672288026e-08, 7, 5, 26.62, 38.30769230769231, 81.92, 38.30769230769231, 18.33, 99.69368505195844, 62.65, 96.58682634730539, 9.8, 9.91
50, 0.5725487884358382, 12.720148676730615, 5.2212373672288026e-08, 7, 5, 34.48, 11.692307692307692, 10.09, 11.692307692307692, 10.09, 96.93669064748201, 90.57, 80.37924151696608, 9.8, 9.91
51, 0.5725487884358382, 22.824351004383605, 1.3245559641279942e-08, 7, 5, 36.07, 9.538461538461538, 10.09, 9.538461538461538, 10.09, 97.18049560351719, 88.88, 83.11377245508982, 9.8, 9.91
52, 0.5725487884358382, 22.824351004383605, 5.2212373672288026e-08, 9, 5, 35.91, 11.846153846153847, 10.09, 11.846153846153847, 10.09, 96.97969624300559, 86.35, 82.63473053892216, 9.8, 9.91
53, 0.5725487884358382, 22.824351004383605, 5.2212373672288026e-08, 7, 12, 33.03, 0.0, 10.09, 0.0, 10.09, 96.76051159072742, 68.5, 67.64471057884232, 9.8, 9.91
54, 0.5725487884358382, 12.720148676730615, 1.3245559641279942e-08, 9, 12, 32.78, 0.0, 10.09, 0.0, 10.09, 96.70119904076738, 65.23, 80.99800399201597, 9.8, 9.91
55, 1810.5582430271252, 22.824351004383605, 1.3245559641279942e-08, 9, 12, 24.7, 28.923076923076923, 97.06, 28.923076923076923, 93.12, 97.36882494004796, 77.27, 72.87425149700599, 14.99, 15.18
56, 1810.5582430271252, 12.720148676730615, 5.2212373672288026e-08, 9, 12, 23.38, 29.53846153846154, 96.53, 29.53846153846154, 91.9, 98.16290967226219, 72.05, 81.31736526946108, 10.01, 10.25
57, 1810.5582430271252, 12.720148676730615, 1.3245559641279942e-08, 7, 12, 25.51, 28.923076923076923, 97.05, 28.923076923076923, 92.9, 97.36067146282974, 70.3, 75.54890219560878, 15.64, 15.46
58, 1810.5582430271252, 12.720148676730615, 1.3245559641279942e-08, 9, 5, 26.28, 37.38461538461538, 82.35, 37.38461538461538, 17.43, 99.68792965627497, 43.56, 97.24550898203593, 12.81, 12.06
59, 1810.5582430271252, 12.720148676730615, 1.3245559641279942e-08, 9, 12, 24.92, 28.923076923076923, 97.04, 28.923076923076923, 92.93, 97.36083133493206, 78.02, 72.71457085828344, 15.74, 16.05
60, 5725.487884358392, 7217.693528900402, 1.6511002284824024e-05, 17, 12, 48.03, 57.07692307692308, 92.7, 57.07692307692308, 84.83, 98.11510791366906, 85.36, 96.50698602794411, 9.46, 8.67
61, 0.18105582430271236, 7217.693528900402, 1.6511002284824024e-05, 17, 12, 10.09, 0.0, 10.09, 0.0, 10.09, 97.1242206235012, 94.76, 93.91217564870259, 9.8, 9.91
62, 5725.487884358392, 4022.464199444558, 1.6511002284824024e-05, 17, 12, 50.04, 57.230769230769226, 93.11, 57.230769230769226, 85.87, 98.11382893685052, 85.36, 96.50698602794411, 9.98, 9.23
63, 5725.487884358392, 7217.693528900402, 4.18861373500475e-06, 17, 12, 21.64, 44.76923076923077, 92.51, 44.76923076923077, 87.89, 98.06522781774581, 85.18, 96.30738522954093, 11.72, 10.46
64, 5725.487884358392, 7217.693528900402, 1.6511002284824024e-05, 18, 12, 49.44, 57.07692307692308, 92.79, 57.07692307692308, 85.11, 98.1146282973621, 84.89, 96.6067864271457, 9.2, 8.35
65, 5725.487884358392, 7217.693528900402, 1.6511002284824024e-05, 17, 5, 75.74, 61.38461538461538, 72.51, 61.38461538461538, 11.1, 99.15763389288568, 85.37, 96.50698602794411, 9.74, 10.09
66, 5725.487884358392, 4022.464199444558, 4.18861373500475e-06, 18, 5, 36.96, 59.23076923076923, 59.84, 59.23076923076923, 15.09, 99.27082334132695, 79.64, 96.82634730538922, 9.8, 9.91
67, 0.18105582430271236, 7217.693528900402, 4.18861373500475e-06, 18, 5, 40.76, 18.153846153846153, 10.09, 18.153846153846153, 10.96, 97.2449240607514, 92.84, 94.09181636726547, 9.8, 9.91
68, 0.18105582430271236, 4022.464199444558, 1.6511002284824024e-05, 18, 5, 43.54, 35.07692307692308, 10.09, 35.07692307692308, 11.09, 97.36195043964828, 11.22, 0.0, 9.8, 9.91
69, 0.18105582430271236, 4022.464199444558, 4.18861373500475e-06, 17, 5, 40.76, 18.153846153846153, 10.09, 18.153846153846153, 10.96, 97.24012789768184, 92.59, 93.91217564870259, 9.8, 9.91
70, 0.18105582430271236, 4022.464199444558, 4.18861373500475e-06, 18, 12, 10.09, 0.0, 10.09, 0.0, 10.09, 96.95347721822542, 86.49, 93.73253493013972, 9.8, 9.91
71, 0.18105582430271236, 4022.464199444558, 4.18861373500475e-06, 18, 5, 40.76, 18.153846153846153, 10.09, 18.153846153846153, 10.96, 97.2396482813749, 92.83, 94.03193612774452, 9.8, 9.91
72, 57.254878843583896, 1.283507579041475, 9.284818905068834e-07, 2, 15, 36.13, 0.0, 63.85, 0.0, 12.79, 86.47066346922462, 63.48, 0.0, 9.41, 9.72
73, 0.0018105582430271226, 1.283507579041475, 9.284818905068834e-07, 2, 15, 10.09, 0.0, 10.09, 0.0, 10.09, 96.38401278976818, 95.38, 0.0, 9.8, 9.91
74, 57.254878843583896, 0.7153065263490955, 9.284818905068834e-07, 2, 15, 37.22, 0.0, 63.29, 0.0, 12.12, 85.83181454836131, 63.16, 0.0, 9.95, 9.99
75, 57.254878843583896, 1.283507579041475, 7.448525561565191e-05, 2, 15, 44.55, 52.46153846153846, 37.63, 52.46153846153846, 89.74, 81.62366107114309, 9.91, 0.0, 9.8, 9.91
76, 57.254878843583896, 1.283507579041475, 9.284818905068834e-07, 13, 15, 36.15, 0.0, 63.88, 0.0, 12.78, 86.46187050359713, 72.12, 80.13972055888223, 8.85, 9.02
77, 57.254878843583896, 1.283507579041475, 9.284818905068834e-07, 2, 9, 43.85, 10.153846153846153, 67.57, 10.153846153846153, 14.49, 87.70743405275779, 90.06, 72.85429141716567, 8.54, 9.05
